10001,1253.4,800,100,9295.9	
10002,859.5,800,100,4470.625	
10003,859.5,800,100,4470.625	
10004,1216.5,800,100,8843.875	
10005,450,800,100,63.4	
10006,450,800,100,63.4	
10007,480,800,100,357.4	
10008,480,800,100,357.4	
10009,450,800,100,63.4	
10010,450,800,100,63.4	
10011,769.5,800,100,3368.125	
10012,837,800,100,4195	
10013,1270,800,100,9499.25	
10014,465,800,100,210.4	
10015,465,800,100,210.4	
10016,480,800,100,357.4	
10017,450,800,100,63.4	
10018,450,800,100,63.4	
10019,480,800,100,357.4	
10020,495,800,100,504.4	
10021,495,800,100,504.4	
10022,480,800,100,357.4	
10023,450,800,100,63.4	
10024,450,800,100,63.4	
10025,450,800,100,63.4	
