10001	2022-01-09	8:00	17:00
10002	2022-01-09	8:00	17:00
10003	2022-01-09	8:00	17:00
10004	2022-01-09	8:00	17:00
10005	2022-01-09	8:00	17:00
10006	2022-01-09	8:00	17:00
10007	2022-01-09	8:27	17:00
10008	2022-01-09	8:01	17:00
10009	2022-01-09	8:05	17:00
10010	2022-01-09	8:00	17:00
10011	2022-01-09	8:00	17:00
10012	2022-01-09	8:00	17:00
10013	2022-01-09	8:00	17:00
10014	2022-01-09	8:00	17:00
10015	2022-01-09	8:00	17:00
10016	2022-01-09	8:28	17:00
10017	2022-01-09	8:00	17:00
10018	2022-01-09	8:00	17:00
10019	2022-01-09	8:00	17:00
10020	2022-01-09	8:00	17:00
10021	2022-01-09	8:11	17:00
10022	2022-01-09	8:00	17:00
10023	2022-01-09	8:00	17:00
10024	2022-01-09	8:21	17:00
10025	2022-01-09	8:00	17:00
10001	2022-01-11	0:00	0:00
10002	2022-01-11	0:00	0:00
10003	2022-01-11	0:00	0:00
10004	2022-01-11	0:00	0:00
10005	2022-01-11	0:00	0:00
10006	2022-01-11	0:00	0:00
10007	2022-01-11	0:00	0:00
10008	2022-01-11	0:00	0:00
10009	2022-01-11	0:00	0:00
10010	2022-01-11	0:00	0:00
10011	2022-01-11	0:00	0:00
10012	2022-01-11	0:00	0:00
10013	2022-01-11	0:00	0:00
10014	2022-01-11	0:00	0:00
10015	2022-01-11	0:00	0:00
10016	2022-01-11	0:00	0:00
10017	2022-01-11	0:00	0:00
10018	2022-01-11	0:00	0:00
10019	2022-01-11	0:00	0:00
10020	2022-01-11	0:00	0:00
10021	2022-01-11	0:00	0:00
10022	2022-01-11	0:00	0:00
10023	2022-01-11	0:00	0:00
10024	2022-01-11	0:00	0:00
10025	2022-01-11	0:00	0:00
10001	2022-01-12	8:00	17:00
10002	2022-01-12	8:00	17:00
10003	2022-01-12	8:00	17:00
10004	2022-01-12	8:00	17:00
10005	2022-01-12	8:15	17:00
10006	2022-01-12	8:00	17:00
10007	2022-01-12	8:00	17:00
10008	2022-01-12	8:00	17:00
10009	2022-01-12	8:00	17:00
10010	2022-01-12	8:00	17:00
10011	2022-01-12	10:30	17:00
10012	2022-01-12	8:00	17:00
10013	2022-01-12	8:00	17:00
10014	2022-01-12	8:00	17:00
10015	2022-01-12	8:00	17:00
10016	2022-01-12	8:00	17:00
10017	2022-01-12	8:00	17:00
10018	2022-01-12	8:00	17:00
10019	2022-01-12	8:00	17:00
10020	2022-01-12	8:00	17:00
10021	2022-01-12	13:00	17:00
10022	2022-01-12	8:00	17:00
10023	2022-01-12	8:00	17:00
10024	2022-01-12	8:00	17:00
10025	2022-01-12	8:00	17:00
10001	2022-02-09	8:00	17:00
10002	2022-02-09	8:00	17:00
10003	2022-02-09	8:00	17:00
10004	2022-02-09	8:00	17:00
10005	2022-02-09	8:00	17:00
10006	2022-02-09	8:00	17:00
10007	2022-02-09	8:00	17:00
10008	2022-02-09	8:00	17:00
10009	2022-02-09	8:00	17:00
10010	2022-02-09	8:00	17:00
10011	2022-02-09	8:00	17:00
10012	2022-02-09	8:00	17:00
10013	2022-02-09	8:00	17:00
10014	2022-02-09	8:00	17:00
10015	2022-02-09	8:00	17:00
10016	2022-02-09	8:00	17:00
10017	2022-02-09	8:00	17:00
10018	2022-02-09	8:00	17:00
10019	2022-02-09	8:00	17:00
10020	2022-02-09	8:00	17:00
10021	2022-02-09	8:00	17:00
10022	2022-02-09	8:00	17:00
10023	2022-02-09	8:00	17:00
10024	2022-02-09	8:00	17:00
10025	2022-02-09	8:00	17:00
10001	2022-02-11	8:00	17:00
10002	2022-02-11	8:00	17:00
10003	2022-02-11	8:00	17:00
10004	2022-02-11	8:00	17:00
10005	2022-02-11	8:15	17:00
10006	2022-02-11	8:00	17:00
10007	2022-02-11	8:00	17:00
10008	2022-02-11	8:00	17:00
10009	2022-02-11	8:00	17:00
10010	2022-02-11	8:00	17:00
10011	2022-02-11	10:30	17:00
10012	2022-02-11	8:00	17:00
10013	2022-02-11	8:00	17:00
10014	2022-02-11	8:00	17:00
10015	2022-02-11	8:00	17:00
10016	2022-02-11	8:00	17:00
10017	2022-02-11	8:00	17:00
10018	2022-02-11	8:00	17:00
10019	2022-02-11	8:00	17:00
10020	2022-02-11	8:00	17:00
10021	2022-02-11	13:00	17:00
10022	2022-02-11	8:00	17:00
10023	2022-02-11	8:00	17:00
10024	2022-02-11	8:00	17:00
