10001,62670,1500,1000,1000,31335,373.04
10002,42975,1500,800,800,21487.5,255.80
10003,42975,1500,800,800,21487.5,255.80
10004,60825,1500,1000,1000,30412.5,362.05
10005,22500,1500,500,500,11250,133.93
10006,22500,1500,500,500,11250,133.93
10007,24000,1500,500,500,12000,142.86
10008,24000,1500,500,500,12000,142.86
10009,22500,1500,500,500,11250,133.93
10010,22500,1500,500,500,11250,133.93
10011,38475,1500,800,800,19237.5,229.02
10012,41850,1500,800,800,20925,249.11
10013,63500,1500,1000,1000,31750,377.98
10014,23250,1500,500,500,11625,138.39
10015,23250,0,0,0,11625,138.39
10016,24000,0,0,0,12000,142.86
10017,22500,0,0,0,11250,133.93
10018,22500,0,0,0,11250,133.93
10019,24000,0,0,0,12000,142.86
10020,24750,0,0,0,12375,147.32
100021,24750,0,0,0,12375,147.32
10023,24000,0,0,0,12000,142.86
10024,22500,0,0,0,11250,133.93
10025,22500,0,0,0,11250,133.93
